cnpj,id_parlamentar_voz,data_entrada_sociedade
12947899000133,1166402,2010-11-25
13038354000177,173441,2010-12-07
13043619000125,174160,2010-12-01
13076534000143,168720,2017-05-29
13081484000192,1178969,2000-06-30
13087434000112,1204394,2011-01-10
13140318000110,1160619,2011-01-20
13171768000170,1204542,2010-12-17
13178915000133,168720,2011-01-17
13181066000177,1146788,2011-01-28
13265089000160,174467,2019-02-07
13352659000159,1204461,2011-02-28
13393172000114,1204465,2011-03-17
13414681000186,1141391,2011-03-23
13431839000126,174554,2011-03-28
13431839000207,174554,2011-03-28
13431839000398,174554,2011-03-28
13452239000144,1177282,2011-02-28
13543400000195,193083,2017-01-13
13572040000150,169871,2011-04-28
13577457000105,193083,1999-05-12
13577457000296,193083,1999-05-12
